lea_name,old_lea_name,NAME,leaid,percent_adq_couns_black,percent_adq_couns_white,percent_adq_couns_hispanic,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,top10_flag,avg_exp_year_perc_hispanic,avg_exp_year_perc_black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,perc_ap_stem_hispanic,perc_ap_stem_black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
McIntosh County,McIntosh County,Georgia,1303600,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McKeesport Area,McKeesport Area SD,Pennsylvania,4214940,NA,NA,NA,NA,NA,NA,NA,0,NA,0.88745,0.89574,NA,NA,NA,0.89513,NA,NA,NA,NA,NA,NA,NA
Mckeesport Area Tech Ctr,McKeesport Area Tech Ctr,Pennsylvania,4280030,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McKenzie,McKenzie,Tennessee,4702790,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McKenzie,McKenzie SD 68,Oregon,4107980,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McKenzie County,MCKENZIE CO 1,North Dakota,3812540,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mckinleyville Union Elementary,McKinleyville Union Elementary,California,0624300,NA,NA,NA,NA,NA,NA,NA,0,0.91237,NA,0.91396,NA,0.91203,NA,0.91446,NA,NA,NA,NA,NA,NA,NA
McKinney,MCKINNEY ISD,Texas,4829850,0,0,0,0,0,0,0,0,0.92481,0.92727,0.93257,0.93252,0.92431,0.91854,0.93338,0.98804,0.98527,0.98905,1,0.97959,1,0.98936
Mckittrick Elementary,McKittrick Elementary,California,0624330,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McLaughlin,McLaughlin School District 15-2,South Dakota,4646380,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mclean,MCLEAN ISD,Texas,4829880,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mclean County,McLean County,Kentucky,2104020,NA,NA,NA,NA,NA,NA,NA,0,0.88446,NA,0.90674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McLean County Unified 5,McLean County USD 5,Illinois,1728620,0,0,0,0,NA,NA,0,0,0.97211,0.97621,0.97272,0.9713,NA,NA,0.97409,0.99054,0.98693,0.9856,0.98814,NA,NA,0.99474
McLeod,MCLEOD ISD,Texas,4829910,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mcleod Elementary,McLeod Elem,Montana,3018060,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McLoud,MCLOUD,Oklahoma,4019560,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McLouth,McLouth,Kansas,2009360,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McMinn County,McMinn County,Tennessee,4702820,0,0,0,NA,NA,NA,0,0,0.8366,0.8343,0.84369,NA,NA,NA,0.82732000000000006,1,1,1,NA,NA,NA,1
McMinnville,McMinnville SD 40,Oregon,4108010,NA,NA,NA,NA,NA,NA,NA,0,0.9226,0.93324,0.93201,0.93122,0.93273,NA,0.93428,NA,NA,NA,NA,NA,NA,NA
Mcmullen County,MCMULLEN COUNTY ISD,Texas,4829940,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McNairy County,McNairy County,Tennessee,4702880,0,0,0,NA,NA,NA,NA,0,0.9488,0.95336,0.96088,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
Mcnary Elementary District,Mcnary Elementary District,Arizona,0404860,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mcneal Elementary District,McNeal Elementary District,Arizona,0404920,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McPherson,McPherson,Kansas,2009390,NA,NA,NA,NA,NA,NA,NA,0,0.8834,NA,0.8807,NA,NA,NA,0.88114,NA,NA,NA,NA,NA,NA,NA
McPherson County,MC PHERSON COUNTY SCHOOLS,Nebraska,3173560,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mcswain Union Elementary,McSwain Union Elementary,California,0624360,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mcv/Va Treatment Ctr,MCV/VA TREATMENT CTR,Virginia,5100055,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mdhs Division Of Youth Services,MDHS DIVISION OF YOUTH SERVICES,Mississippi,2801191,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Me Of Science Mathematics,ME Sch of Science & Mathematics,Maine,2300049,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mead,Mead School District,Washington,5304920,0,0,0,0,NA,0,0,0,0.93112,0.92167,0.92891,0.92417,NA,0.92986,0.92567,0.80786,0.90741,0.8075,1,NA,1,0.86817
Mead Schools,MEAD PUBLIC SCHOOLS,Nebraska,3173590,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meade,Meade,Kansas,2009420,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meade,Meade School District 46-1,South Dakota,4669930,NA,NA,NA,NA,NA,NA,NA,1,0.87715,NA,0.88181,NA,0.87561,NA,0.86526,NA,NA,NA,NA,NA,NA,NA
Meade County,Meade County,Kentucky,2104050,0,0,0,NA,NA,NA,0,0,0.91477,0.91223,0.91753,NA,NA,NA,0.90817,0.98148,1,0.99107,NA,NA,NA,0.97872
Meadow,MEADOW ISD,Texas,4830000,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meadow Heights Reorganized-II,MEADOW HEIGHTS R-II,Missouri,2923640,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meadows Union Elementary,Meadows Union Elementary,California,0624390,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meadows Valley,MEADOWS VALLEY DISTRICT,Idaho,1602060,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meadville Reorganized-IV,MEADVILLE R-IV,Missouri,2920640,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mechanicsburg Area,Mechanicsburg Area SD,Pennsylvania,4215030,NA,NA,NA,NA,NA,NA,NA,0,0.95316,0.94564,0.9539,0.95337,NA,NA,0.94549,NA,NA,NA,NA,NA,NA,NA
Mechanicsburg Exempted Village,Mechanicsburg Exempted Village,Ohio,3904548,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mechanicville City,MECHANICVILLE CITY SCHOOL DISTRICT,New York,3618900,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mecklenburg County,MECKLENBURG CO PBLC SCHS,Virginia,5102460,0,0,0,NA,NA,NA,0,0,0.88409,0.89213,0.88924,NA,NA,NA,0.9008,0,0,0,NA,NA,NA,0
Mecosta-Osceola,Mecosta-Osceola ISD,Michigan,2680770,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Medfield,Medfield,Massachusetts,2507530,NA,NA,NA,NA,NA,NA,NA,0,0.8415,NA,0.83944,0.83283,NA,NA,0.83987,NA,NA,NA,NA,NA,NA,NA
Medford,Medford,Massachusetts,2507560,1,1,1,1,NA,NA,1,0,0.91288,0.91203,0.90685,0.90933,NA,NA,0.91309,0.98802,0.98182,0.99185,1,NA,NA,1
Medford,MEDFORD,Oklahoma,4019620,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medford,MEDFORD PUBLIC SCHOOL DISTRICT,Minnesota,2719320,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medford 549c,Medford SD 549C,Oregon,4108040,0.11111,0.05334,0.07955,0.03922,0.18421,0.02326,0.11173,1,0.8437,0.84945,0.85388,0.85038,0.85268,0.85543,0.85139,0.92045,0.88889,0.94666,0.96078,0.81579,0.97674,0.88827
Medford Area,Medford Area Public School District,Wisconsin,5508940,NA,NA,NA,NA,NA,NA,NA,0,0.79598,NA,0.8006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medford Lakes,Medford Lakes School District,New Jersey,3409840,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medford Township,Medford Township School District,New Jersey,3409870,NA,NA,NA,NA,NA,NA,NA,0,0.94025,NA,0.94489,0.94668,NA,NA,0.94203,NA,NA,NA,NA,NA,NA,NA
Mediapolis Community,Mediapolis Comm School District,Iowa,1918930,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medical College Of Va,MEDICAL COLLEGE OF VA,Virginia,5100040,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medical Lake,Medical Lake School District,Washington,5304950,0,0,0,NA,NA,NA,0,0,0.84446,0.83569,0.87303,NA,NA,NA,0.86208,0.98077,1,0.95423,NA,NA,NA,0.89583
Medicine Lake K-12 Schools,Medicine Lake K-12 Schools,Montana,3018170,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medicine Valley Schools,MEDICINE VALLEY PUBLIC SCHOOLS,Nebraska,3173600,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medina,MEDINA ISD,Texas,4830030,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medina 3,MEDINA 3,North Dakota,3812660,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medina Central,MEDINA CENTRAL SCHOOL DISTRICT,New York,3618960,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medina City,Medina City SD,Ohio,3904438,0,0.00194,0,0,NA,NA,0.01613,0,0.94107,0.9258,0.94174,0.95016,NA,NA,0.93901,1,1,0.99806,1,NA,NA,0.98387
Medina County Joint Vocational,Medina County Joint Vocational School District,Ohio,3906210,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medina Valley,MEDINA VALLEY ISD,Texas,4830060,0,0,0,NA,NA,NA,0,0,0.86236,0.84484,0.86716,NA,NA,NA,0.83938,1,0.98214,1,NA,NA,NA,1
Medinah 11,Medinah SD 11,Illinois,1725500,NA,NA,NA,NA,NA,NA,NA,0,0.72938,NA,0.72652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medora Community School Corporation,Medora Community School Corp,Indiana,1801230,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medway,Medway,Massachusetts,2507590,NA,NA,NA,NA,NA,NA,NA,0,0.9097,NA,0.90814,0.91028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medway Schools,Medway Public Schools,Maine,2308160,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meeker,MEEKER,Oklahoma,4019680,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meeker and Wright Special Education,MEEKER AND WRIGHT SPECIAL EDUCATION,Minnesota,2700045,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0.94286,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Meeker Reorganized-1,Meeker School District Re1,Colorado,0805610,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mehlville Reorganized-IX,MEHLVILLE R-IX,Missouri,2920670,0,0,0,0,NA,NA,0,0,0.93917,0.94489,0.93886,0.93652,NA,NA,0.93801,1,1,1,1,NA,NA,1
Meigs County,Meigs County,Tennessee,4702910,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.9699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meigs Local,Meigs Local,Ohio,3904852,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.90355,NA,NA,NA,0.89228,NA,NA,NA,NA,NA,NA,NA
Melba Joint,MELBA JOINT DISTRICT,Idaho,1602070,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melbourne,MELBOURNE SCHOOL DISTRICT,Arkansas,0509720,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melcher-Dallas Community,Melcher-Dallas Comm School District,Iowa,1918960,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melissa,MELISSA ISD,Texas,4830120,NA,NA,NA,NA,NA,NA,NA,0,0.91064,0.91142,0.91454,NA,NA,NA,0.905,NA,NA,NA,NA,NA,NA,NA
Mellen,Mellen School District,Wisconsin,5508970,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melrose,Melrose,Massachusetts,2507620,NA,NA,NA,NA,NA,NA,NA,0,0.91565,0.91196,0.92662,0.91112,NA,NA,0.92482,NA,NA,NA,NA,NA,NA,NA
Melrose,MELROSE PUBLIC SCHOOL DISTRICT,Minnesota,2720550,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melrose-Mindoro,Melrose-Mindoro School District,Wisconsin,5509000,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.94817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melrose Elementary,Melrose Elem,Montana,3018210,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melrose Schools,MELROSE PUBLIC SCHOOLS,New Mexico,3501830,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melstone Elementary,Melstone Elem,Montana,3018240,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melstone High School,Melstone H S,Montana,3018270,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melville Elementary,Melville Elem,Montana,3018290,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melvindale-North Allen Park Schools,Melvindale-North Allen Park Schools,Michigan,2623460,NA,NA,NA,NA,NA,NA,NA,0,0.90563,0.90505,0.91215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis,Memphis Community Schools,Michigan,2623490,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis,MEMPHIS ISD,Texas,4830180,NA,NA,NA,NA,NA,NA,NA,0,0.77225,NA,0.77353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mena,MENA SCHOOL DISTRICT,Arkansas,0509750,NA,NA,NA,NA,NA,NA,NA,0,0.98346,NA,0.98428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menahga,MENAHGA PUBLIC SCHOOL DISTRICT,Minnesota,2720580,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menands Union Free,MENANDS UNION FREE SCHOOL DISTRICT,New York,3618990,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menard,MENARD ISD,Texas,4830210,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menard/Sangamon Regional Office of Education,Menard/Sangamon ROE,Illinois,1700206,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Menasha Joint,Menasha Joint School District,Wisconsin,5509030,NA,NA,NA,NA,NA,NA,NA,0,0.86434,0.91538,0.93152,0.92296,NA,NA,0.92671,NA,NA,NA,NA,NA,NA,NA
Mendeocino County Office of Education,Mendocino County Office of Education,California,0691019,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendham Borough,MENDHAM BOROUGH SCHOOL DISTRICT,New Jersey,3409900,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendham Township,Mendham Township School District,New Jersey,3409930,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendocino County Roc/Rop,Mendocino County ROC/ROP,California,0600118,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendocino Unified,Mendocino Unified,California,0624480,NA,0,0,NA,NA,NA,NA,0,0.90927,NA,0.87315,NA,NA,NA,NA,0.91667,NA,0.94268,NA,NA,NA,NA
Mendon,Mendon Community School District,Michigan,2623520,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendon-Upton,Mendon-Upton,Massachusetts,2507680,NA,NA,NA,NA,NA,NA,NA,0,0.91693,NA,0.91191,0.91869,NA,NA,0.91144,NA,NA,NA,NA,NA,NA,NA
Mendota Community Consolidated 289,Mendota CCSD 289,Illinois,1725620,NA,NA,NA,NA,NA,NA,NA,0,0.89701,NA,0.90346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendota Twp High Schoold 280,Mendota Twp HSD 280,Illinois,1725650,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mendota Unified,Mendota Unified,California,0600022,NA,NA,0,NA,NA,NA,NA,0,0.90411,NA,NA,NA,NA,NA,NA,0.97961,NA,NA,NA,NA,NA,NA
Menifee County,Menifee County,Kentucky,2104080,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.83587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menifee Union Elementary,Menifee Union Elementary,California,0624540,NA,NA,NA,NA,NA,NA,NA,0,0.80163,0.7929,0.80566,0.78708,NA,0.76366,0.78371,NA,NA,NA,NA,NA,NA,NA
Menlo Park City Elementary,Menlo Park City Elementary,California,0624570,NA,NA,NA,NA,NA,NA,NA,0,0.98229,NA,0.98203,0.98231,NA,NA,0.9839,NA,NA,NA,NA,NA,NA,NA
Menno,Menno School District 33-2,South Dakota,4647100,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.89271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menoken 33,MENOKEN 33,North Dakota,3812720,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menominee,Menominee ISD,Michigan,2680790,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menominee Area Schools,Menominee Area Public Schools,Michigan,2623550,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.77373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menominee Indian,Menominee Indian School District,Wisconsin,5509070,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menomonee Falls,Menomonee Falls School District,Wisconsin,5509060,NA,NA,NA,NA,NA,NA,NA,0,0.90418,0.90796,0.89968,0.9059,NA,NA,0.9042,NA,NA,NA,NA,NA,NA,NA
Menomonie Area,Menomonie Area School District,Wisconsin,5509090,NA,NA,NA,NA,NA,NA,NA,0,0.8034,0.75168,0.80409,0.75337,NA,NA,0.782,NA,NA,NA,NA,NA,NA,NA
Mentor Exempted Village,Mentor Exempted Village,Ohio,3904549,NA,NA,NA,NA,NA,NA,NA,0,0.92454,0.93551,0.92519,0.91658,NA,NA,0.92443,NA,NA,NA,NA,NA,NA,NA
Mequon-Thiensville,Mequon-Thiensville School District,Wisconsin,5509130,NA,NA,NA,NA,NA,NA,NA,0,0.92192,0.92161,0.91655,0.91723,NA,NA,0.91129,NA,NA,NA,NA,NA,NA,NA
Meramec Valley Reorganized-III,MERAMEC VALLEY R-III,Missouri,2923460,NA,NA,NA,NA,NA,NA,NA,0,0.91203,0.92311,0.92129,NA,NA,NA,0.92175,NA,NA,NA,NA,NA,NA,NA
Merced City Elementary,Merced City Elementary,California,0624600,NA,NA,NA,NA,NA,NA,NA,0,0.93078,0.93191,0.93934,0.9317,NA,NA,0.9411,NA,NA,NA,NA,NA,NA,NA
Merced County Office of Education,Merced County Office of Education,California,0691020,0.14815,0.09906,0.20444,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
Merced County Rop,Merced County ROP,California,0600119,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merced River Union Elementary,Merced River Union Elementary,California,0624630,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merced Union High,Merced Union High,California,0624660,0.03774,0.02189,0.01256,0.00299,0.03509,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.95354,0.91509,0.9574,0.98905,0.92982,NA,0.97576
Mercedes,MERCEDES ISD,Texas,4830250,NA,0.26923,0.53159,NA,NA,NA,NA,0,0.87783,NA,0.90673,NA,NA,NA,NA,0.38945,NA,0.23077,NA,NA,NA,NA
Mercer,Mercer School District,Wisconsin,5509150,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercer Area,Mercer Area SD,Pennsylvania,4215120,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercer County,Mercer County,Kentucky,2104110,0.025,0.03047,0.05128,NA,NA,NA,0,0,0.92792,0.9373,0.93612,NA,NA,NA,0.92999,0.94872,0.975,0.95568,NA,NA,NA,0.94118
Mercer County,MERCER COUNTY SCHOOLS,West Virginia,5400840,0,0,0,NA,NA,NA,0,1,0.91781,0.91933,0.92727,NA,NA,NA,0.92285,0.78947,0.96324,0.5782,NA,NA,NA,0.86486
Mercer County 404,Mercer County School District 404,Illinois,1701395,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.90709,NA,NA,NA,0.91398,NA,NA,NA,NA,NA,NA,NA
Mercer County Career Center,Mercer County Career Center,Pennsylvania,4280310,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mercer County Special Services,Mercer County Special Services School District,New Jersey,3480200,0,0,0,NA,NA,NA,NA,0,0.84757,0.84007,0.83746,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
Mercer Island,Mercer Island School District,Washington,5304980,NA,NA,NA,NA,NA,NA,NA,0,0.90551,NA,0.90183,0.90609,NA,NA,0.90836,NA,NA,NA,NA,NA,NA,NA
Merchantville,Merchantville School District,New Jersey,3409960,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meredosia-Chambersburg Community Unit 11,Meredosia-Chambersburg CUSD 11,Illinois,1725680,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meriden,MERIDEN SCHOOL DISTRICT,Connecticut,0902400,1,1,1,1,NA,NA,1,0,0.87435,0.8709,0.87169,0.87378,NA,NA,0.87581,1,1,1,1,NA,NA,1
Meridian,MERIDIAN ISD,Texas,4830300,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meridian,Meridian School District,Washington,5305010,NA,0,0,0,NA,NA,0,0,0.92677,NA,0.93819,0.93282,NA,NA,0.94193,0,NA,0,0,NA,NA,0
Meridian Community Unit 101,Meridian CUSD 101,Illinois,1726970,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meridian Community Unit 15,Meridian CUSD 15,Illinois,1700123,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meridian Community Unit 223,Meridian CUSD 223,Illinois,1725690,NA,NA,NA,NA,NA,NA,NA,0,0.94353,NA,0.94849000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meridian Elementary,Meridian Elementary,California,0624690,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
